<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>
2025.11.02	22:00:00	1.15294	1.15324	1.15294	1.15324	2.02
2025.11.02	22:01:00	1.15324	1.15329	1.15289	1.15328	3.11
2025.11.02	22:02:00	1.15328	1.15328	1.15328	1.15328	1.34
2025.11.02	22:03:00	1.15295	1.15328	1.15295	1.15328	3.03
2025.11.02	22:04:00	1.15295	1.15295	1.15295	1.15295	0.67
2025.11.02	22:05:00	1.15306	1.15329	1.15295	1.15319	30.02
2025.11.02	22:06:00	1.15300	1.15331	1.15300	1.15302	61.80
2025.11.02	22:07:00	1.15303	1.15309	1.15303	1.15305	57.60
2025.11.02	22:08:00	1.15307	1.15309	1.15306	1.15309	27.00
2025.11.02	22:09:00	1.15306	1.15306	1.15294	1.15294	24.87
2025.11.02	22:10:00	1.15299	1.15305	1.15294	1.15298	22.70
2025.11.02	22:11:00	1.15298	1.15310	1.15296	1.15296	11.55
2025.11.02	22:12:00	1.15297	1.15302	1.15296	1.15297	9.30
2025.11.02	22:13:00	1.15303	1.15304	1.15303	1.15304	2.40
2025.11.02	22:14:00	1.15302	1.15302	1.15302	1.15302	2.10
2025.11.02	22:15:00	1.15301	1.15307	1.15300	1.15303	10.80
2025.11.02	22:16:00	1.15303	1.15307	1.15302	1.15307	6.90
2025.11.02	22:17:00	1.15307	1.15307	1.15307	1.15307	1.20
2025.11.02	22:18:00	1.15298	1.15316	1.15298	1.15310	12.30
2025.11.02	22:19:00	1.15308	1.15308	1.15307	1.15307	3.60
2025.11.02	22:20:00	1.15307	1.15308	1.15300	1.15300	4.50
2025.11.02	22:21:00	1.15300	1.15314	1.15299	1.15309	18.06
2025.11.02	22:22:00	1.15309	1.15311	1.15308	1.15311	3.60
2025.11.02	22:23:00	1.15311	1.15311	1.15308	1.15308	4.80
2025.11.02	22:24:00	1.15309	1.15312	1.15309	1.15312	8.40
2025.11.02	22:25:00	1.15311	1.15311	1.15308	1.15310	4.80
2025.11.02	22:26:00	1.15310	1.15310	1.15310	1.15310	1.20
2025.11.02	22:27:00	1.15299	1.15308	1.15299	1.15308	13.20
2025.11.02	22:28:00	1.15299	1.15300	1.15299	1.15300	1.80
2025.11.02	22:29:00	1.15308	1.15308	1.15308	1.15308	1.20
2025.11.02	22:30:00	1.15308	1.15309	1.15307	1.15307	4.80
2025.11.02	22:31:00	1.15308	1.15308	1.15306	1.15306	2.10
2025.11.02	22:32:00	1.15308	1.15308	1.15307	1.15307	2.40
2025.11.02	22:33:00	1.15307	1.15308	1.15306	1.15306	4.50
2025.11.02	22:34:00	1.15298	1.15309	1.15298	1.15308	3.90
2025.11.02	22:35:00	1.15308	1.15312	1.15308	1.15308	7.50
2025.11.02	22:36:00	1.15311	1.15312	1.15308	1.15308	9.60
2025.11.02	22:37:00	1.15308	1.15308	1.15307	1.15307	4.80
2025.11.02	22:38:00	1.15307	1.15309	1.15307	1.15308	7.20
2025.11.02	22:39:00	1.15311	1.15311	1.15306	1.15308	12.00
2025.11.02	22:40:00	1.15308	1.15308	1.15304	1.15304	6.00
2025.11.02	22:41:00	1.15304	1.15305	1.15301	1.15301	11.40
2025.11.02	22:42:00	1.15307	1.15309	1.15301	1.15305	11.55
2025.11.02	22:43:00	1.15307	1.15323	1.15306	1.15309	100.65
2025.11.02	22:44:00	1.15316	1.15318	1.15303	1.15304	38.55
2025.11.02	22:45:00	1.15303	1.15309	1.15302	1.15304	10.68
2025.11.02	22:46:00	1.15305	1.15324	1.15304	1.15320	42.03
2025.11.02	22:47:00	1.15322	1.15332	1.15319	1.15331	181.39
2025.11.02	22:48:00	1.15328	1.15331	1.15319	1.15327	863.02
2025.11.02	22:49:00	1.15324	1.15332	1.15318	1.15331	954.24
2025.11.02	22:50:00	1.15329	1.15336	1.15319	1.15332	640.59
2025.11.02	22:51:00	1.15333	1.15340	1.15330	1.15333	432.56
2025.11.02	22:52:00	1.15340	1.15340	1.15332	1.15333	421.39
2025.11.02	22:53:00	1.15338	1.15340	1.15330	1.15332	495.38
2025.11.02	22:54:00	1.15332	1.15340	1.15330	1.15336	458.80
2025.11.02	22:55:00	1.15336	1.15340	1.15330	1.15334	638.17
2025.11.02	22:56:00	1.15331	1.15339	1.15330	1.15334	123.29
2025.11.02	22:57:00	1.15335	1.15339	1.15318	1.15328	189.07
2025.11.02	22:58:00	1.15328	1.15331	1.15321	1.15329	108.00
2025.11.02	22:59:00	1.15330	1.15330	1.15321	1.15329	84.89
2025.11.02	23:00:00	1.15327	1.15336	1.15313	1.15322	456.83
2025.11.02	23:01:00	1.15321	1.15341	1.15307	1.15331	298.30
2025.11.02	23:02:00	1.15332	1.15338	1.15326	1.15335	105.89
2025.11.02	23:03:00	1.15332	1.15348	1.15331	1.15348	120.48
2025.11.02	23:04:00	1.15348	1.15352	1.15328	1.15346	183.31
2025.11.02	23:05:00	1.15347	1.15355	1.15343	1.15348	71.08
2025.11.02	23:06:00	1.15354	1.15365	1.15348	1.15360	63.84
2025.11.02	23:07:00	1.15367	1.15368	1.15363	1.15364	21.60
2025.11.02	23:08:00	1.15365	1.15368	1.15358	1.15359	57.47
2025.11.02	23:09:00	1.15358	1.15366	1.15358	1.15361	42.21
2025.11.02	23:10:00	1.15364	1.15369	1.15357	1.15369	67.22
2025.11.02	23:11:00	1.15370	1.15383	1.15368	1.15370	45.99
2025.11.02	23:12:00	1.15369	1.15374	1.15367	1.15367	16.19
2025.11.02	23:13:00	1.15366	1.15370	1.15357	1.15357	41.93
2025.11.02	23:14:00	1.15358	1.15360	1.15355	1.15359	20.39
2025.11.02	23:15:00	1.15357	1.15365	1.15357	1.15360	142.31
2025.11.02	23:16:00	1.15358	1.15362	1.15353	1.15354	56.04
2025.11.02	23:17:00	1.15355	1.15369	1.15352	1.15367	79.98
2025.11.02	23:18:00	1.15368	1.15369	1.15348	1.15348	193.60
2025.11.02	23:19:00	1.15350	1.15354	1.15348	1.15351	77.19
2025.11.02	23:20:00	1.15354	1.15355	1.15341	1.15341	136.21
2025.11.02	23:21:00	1.15342	1.15344	1.15341	1.15342	34.30
2025.11.02	23:22:00	1.15344	1.15344	1.15341	1.15341	6.59
2025.11.02	23:23:00	1.15341	1.15342	1.15341	1.15341	8.39
2025.11.02	23:24:00	1.15340	1.15341	1.15316	1.15316	122.77
2025.11.02	23:25:00	1.15316	1.15317	1.15309	1.15312	123.88
2025.11.02	23:26:00	1.15310	1.15313	1.15306	1.15312	273.95
2025.11.02	23:27:00	1.15310	1.15312	1.15301	1.15308	244.96
2025.11.02	23:28:00	1.15304	1.15312	1.15303	1.15312	35.50
2025.11.02	23:29:00	1.15312	1.15339	1.15311	1.15337	143.12
2025.11.02	23:30:00	1.15338	1.15344	1.15328	1.15340	210.51
2025.11.02	23:31:00	1.15340	1.15346	1.15333	1.15340	97.82
2025.11.02	23:32:00	1.15340	1.15344	1.15335	1.15339	155.19
2025.11.02	23:33:00	1.15340	1.15340	1.15320	1.15322	107.55
2025.11.02	23:34:00	1.15323	1.15323	1.15313	1.15313	54.59
2025.11.02	23:35:00	1.15314	1.15318	1.15298	1.15299	81.17
2025.11.02	23:36:00	1.15300	1.15302	1.15298	1.15301	36.95
2025.11.02	23:37:00	1.15301	1.15301	1.15278	1.15279	90.03
2025.11.02	23:38:00	1.15279	1.15286	1.15278	1.15284	134.48
2025.11.02	23:39:00	1.15284	1.15302	1.15284	1.15286	52.81
2025.11.02	23:40:00	1.15286	1.15289	1.15278	1.15282	76.88
2025.11.02	23:41:00	1.15281	1.15285	1.15281	1.15283	38.96
2025.11.02	23:42:00	1.15283	1.15290	1.15281	1.15290	81.59
2025.11.02	23:43:00	1.15290	1.15290	1.15290	1.15290	2.70
2025.11.02	23:44:00	1.15295	1.15296	1.15289	1.15293	38.53
2025.11.02	23:45:00	1.15297	1.15297	1.15294	1.15296	9.00
2025.11.02	23:46:00	1.15295	1.15309	1.15294	1.15308	45.24
2025.11.02	23:47:00	1.15313	1.15316	1.15308	1.15312	57.32
2025.11.02	23:48:00	1.15318	1.15326	1.15317	1.15318	42.09
2025.11.02	23:49:00	1.15315	1.15315	1.15304	1.15305	102.23
2025.11.02	23:50:00	1.15307	1.15307	1.15293	1.15295	86.94
2025.11.02	23:51:00	1.15297	1.15297	1.15260	1.15268	122.77
2025.11.02	23:52:00	1.15269	1.15272	1.15262	1.15265	87.89
2025.11.02	23:53:00	1.15267	1.15271	1.15263	1.15264	53.35
2025.11.02	23:54:00	1.15265	1.15280	1.15263	1.15272	69.10
2025.11.02	23:55:00	1.15274	1.15278	1.15270	1.15278	36.29
2025.11.02	23:56:00	1.15278	1.15278	1.15270	1.15271	10.25
2025.11.02	23:57:00	1.15270	1.15272	1.15257	1.15261	49.60
2025.11.02	23:58:00	1.15259	1.15274	1.15250	1.15264	114.59
2025.11.02	23:59:00	1.15263	1.15275	1.15263	1.15274	74.34
2025.11.03	00:00:00	1.15273	1.15290	1.15270	1.15286	125.00
2025.11.03	00:01:00	1.15286	1.15309	1.15286	1.15300	155.85
2025.11.03	00:02:00	1.15302	1.15308	1.15289	1.15294	63.49
2025.11.03	00:03:00	1.15294	1.15294	1.15268	1.15276	36.31
2025.11.03	00:04:00	1.15275	1.15275	1.15266	1.15272	29.88
2025.11.03	00:05:00	1.15272	1.15274	1.15268	1.15273	11.70
2025.11.03	00:06:00	1.15273	1.15273	1.15265	1.15269	9.61
2025.11.03	00:07:00	1.15267	1.15273	1.15266	1.15273	13.88
2025.11.03	00:08:00	1.15272	1.15273	1.15268	1.15270	14.01
2025.11.03	00:09:00	1.15273	1.15277	1.15271	1.15274	30.69
2025.11.03	00:10:00	1.15273	1.15276	1.15267	1.15273	20.54
2025.11.03	00:11:00	1.15272	1.15273	1.15267	1.15267	16.17
2025.11.03	00:12:00	1.15267	1.15274	1.15260	1.15263	32.35
2025.11.03	00:13:00	1.15263	1.15289	1.15263	1.15273	48.23
2025.11.03	00:14:00	1.15277	1.15284	1.15272	1.15275	62.24
2025.11.03	00:15:00	1.15276	1.15276	1.15270	1.15270	29.11
2025.11.03	00:16:00	1.15269	1.15269	1.15262	1.15263	32.71
2025.11.03	00:17:00	1.15262	1.15262	1.15261	1.15262	14.44
2025.11.03	00:18:00	1.15262	1.15268	1.15260	1.15266	49.11
2025.11.03	00:19:00	1.15264	1.15264	1.15251	1.15254	29.87
2025.11.03	00:20:00	1.15256	1.15256	1.15251	1.15255	8.75
2025.11.03	00:21:00	1.15257	1.15262	1.15257	1.15262	12.31
2025.11.03	00:22:00	1.15263	1.15291	1.15263	1.15290	35.75
2025.11.03	00:23:00	1.15290	1.15290	1.15286	1.15287	10.70
2025.11.03	00:24:00	1.15287	1.15298	1.15286	1.15298	13.00
2025.11.03	00:25:00	1.15295	1.15302	1.15295	1.15295	18.24
2025.11.03	00:26:00	1.15297	1.15303	1.15297	1.15302	9.00
2025.11.03	00:27:00	1.15301	1.15302	1.15297	1.15301	18.64
2025.11.03	00:28:00	1.15300	1.15303	1.15293	1.15296	21.32
2025.11.03	00:29:00	1.15297	1.15298	1.15294	1.15294	9.00
2025.11.03	00:30:00	1.15294	1.15300	1.15286	1.15300	20.19
2025.11.03	00:31:00	1.15298	1.15298	1.15282	1.15286	27.72
2025.11.03	00:32:00	1.15287	1.15288	1.15282	1.15284	26.65
2025.11.03	00:33:00	1.15283	1.15283	1.15275	1.15277	27.55
