<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>
2025.11.02	23:00:00	3983.49800	3990.34800	3978.02500	3984.04800	0.05
2025.11.02	23:01:00	3983.74800	3990.84800	3983.29800	3990.54800	0.05
2025.11.02	23:02:00	3990.40500	3992.34800	3989.04800	3991.94800	0.05
2025.11.02	23:03:00	3991.55500	3997.59800	3991.54800	3995.62500	0.05
2025.11.02	23:04:00	3995.89800	3996.49800	3989.39800	3994.49800	0.03
2025.11.02	23:05:00	3995.34800	3996.39800	3991.18500	3993.19800	0.03
2025.11.02	23:06:00	3993.07500	3994.39800	3990.71500	3991.44800	0.02
2025.11.02	23:07:00	3991.44800	3992.04900	3989.54800	3991.22500	0.03
2025.11.02	23:08:00	3991.36900	3992.76500	3991.07900	3992.76500	0.03
2025.11.02	23:09:00	3992.79500	3995.18500	3990.45500	3991.89800	0.03
2025.11.02	23:10:00	3991.69800	3994.19500	3990.78500	3994.19500	0.02
2025.11.02	23:11:00	3994.27500	3994.87500	3992.88500	3994.09500	0.01
2025.11.02	23:12:00	3994.15500	3995.78500	3993.21500	3994.40500	0.01
2025.11.02	23:13:00	3994.38500	3995.59500	3994.08500	3995.03500	0.02
2025.11.02	23:14:00	3995.20500	3995.89800	3994.56500	3995.70500	0.01
2025.11.02	23:15:00	3995.73500	3996.19800	3994.31500	3994.40500	0.01
2025.11.02	23:16:00	3994.43500	3996.19500	3993.93500	3995.45500	0.01
2025.11.02	23:17:00	3995.51500	3998.62500	3995.50500	3997.53500	0.02
2025.11.02	23:18:00	3997.65500	3997.93500	3992.01500	3992.12500	0.02
2025.11.02	23:19:00	3992.30500	3995.22500	3991.94800	3993.48500	0.02
2025.11.02	23:20:00	3993.83500	3993.92500	3990.04500	3990.55500	0.02
2025.11.02	23:21:00	3990.22500	3990.59500	3987.91500	3990.22500	0.02
2025.11.02	23:22:00	3990.26500	3993.06500	3989.62500	3992.23500	0.02
2025.11.02	23:23:00	3992.22500	3993.97500	3992.09500	3992.21500	0.01
2025.11.02	23:24:00	3992.23500	3994.11500	3992.23500	3993.24500	0.01
2025.11.02	23:25:00	3993.30500	3995.50500	3993.30500	3995.33500	0.01
2025.11.02	23:26:00	3995.34500	3995.59500	3994.46500	3995.19500	0.01
2025.11.02	23:27:00	3995.21500	3995.33500	3994.52500	3994.97500	0.01
2025.11.02	23:28:00	3994.54800	3995.44800	3994.54800	3995.34500	0.00
2025.11.02	23:29:00	3995.32500	3995.32500	3993.34500	3994.19800	0.02
2025.11.02	23:30:00	3993.59800	3995.09800	3993.39800	3993.39800	0.03
2025.11.02	23:31:00	3993.39800	3994.69800	3993.29800	3993.69800	0.02
2025.11.02	23:32:00	3993.69800	3994.82500	3993.69800	3994.82500	0.01
2025.11.02	23:33:00	3994.81500	3995.42500	3994.67500	3994.67500	0.01
2025.11.02	23:34:00	3994.70500	3994.88500	3990.06500	3990.85500	0.04
2025.11.02	23:35:00	3990.83500	3991.98500	3987.99800	3988.06800	0.05
2025.11.02	23:36:00	3988.09800	3988.34800	3986.80500	3987.40800	0.04
2025.11.02	23:37:00	3987.46800	3987.46800	3986.52800	3986.59800	0.02
2025.11.02	23:38:00	3986.61800	3987.39800	3983.24800	3983.76500	0.04
2025.11.02	23:39:00	3983.71800	3987.69500	3983.71800	3987.16500	0.03
2025.11.02	23:40:00	3987.13500	3987.24500	3985.77500	3986.18500	0.01
2025.11.02	23:41:00	3986.13500	3986.50500	3983.81500	3984.40500	0.02
2025.11.02	23:42:00	3984.42500	3984.67500	3983.22500	3983.22500	0.01
2025.11.02	23:43:00	3983.25500	3983.91500	3977.49800	3980.15500	0.06
2025.11.02	23:44:00	3980.17500	3982.74500	3978.32500	3978.56500	0.03
2025.11.02	23:45:00	3978.62500	3980.14800	3977.49800	3978.79500	0.03
