name,trades,wr,total,mean_day,worst_day,tpd,pos_months,n_months
30min_tp2.0_sl1.2_A_m0,5,0.6,2.7604614312389333,0.6901153578097333,-0.6904617848966669,1.25,1,2
15min_tp1.2_sl1.6_A_m0,8,0.75,2.0,0.24999999999999997,-0.8,1.0,2,3
30min_tp2.0_sl1.2_AB_m0,6,0.5,1.960461431238933,0.3920922862477866,-0.8,1.2,1,2
15min_tp1.2_sl1.6_A_m1,3,1.0,1.7999999999999998,0.6,0.6,1.0,2,2
15min_tp1.5_sl1.5_A_m0,8,0.625,1.6,0.2,-0.8,1.0,2,3
30min_tp1.0_sl2.0_A_m0,5,0.8,1.5571851738838123,0.38929629347095307,0.3571851738838123,1.25,2,2
30min_tp1.5_sl1.5_A_m0,5,0.6,1.5059827954559286,0.37649569886398215,-0.5523694279173336,1.25,1,2
15min_tp2.0_sl1.2_AB_m0,18,0.3888888888888889,1.4535268839972144,0.09084543024982589,-1.0,1.125,1,4
15min_tp2.0_sl1.2_AB_m1,7,0.42857142857142855,1.402777384920745,0.23379623082012416,-0.8,1.1666666666666667,1,2
30min_tp1.2_sl1.6_A_m0,5,0.6,1.221337146957915,0.30533428673947877,-0.5178463386725001,1.25,1,2
15min_tp1.0_sl2.0_A_m1,3,1.0,1.2000000000000002,0.4000000000000001,0.4,1.0,2,2
15min_tp1.5_sl1.5_A_m1,3,0.6666666666666666,0.8,0.26666666666666666,-0.8,1.0,1,2
15min_tp1.0_sl2.0_A_m0,8,0.75,0.7999999999999999,0.1,-0.8,1.0,2,3
30min_tp2.0_sl1.2_AB_m1,2,0.5,0.784256549468933,0.784256549468933,0.784256549468933,2.0,1,1
30min_tp2.0_sl1.2_A_m1,2,0.5,0.784256549468933,0.784256549468933,0.784256549468933,2.0,1,1
30min_tp0.7_sl2.8_A_m0,5,0.8,0.7735882566166374,0.19339706415415936,0.17358825661663746,1.25,2,2
30min_tp1.0_sl2.0_AB_m0,6,0.6666666666666666,0.7571851738838123,0.15143703477676246,-0.8,1.2,1,2
15min_tp1.5_sl1.5_AB_m0,18,0.5,0.7174751331380473,0.044842195821127945,-1.0,1.125,1,4
30min_tp1.5_sl1.5_AB_m0,6,0.5,0.7059827954559286,0.14119655909118572,-0.8,1.2,1,2
15min_tp1.5_sl1.5_AB_m1,7,0.5714285714285714,0.6732061747683344,0.11220102912805574,-0.8,1.1666666666666667,1,2
15min_tp0.7_sl2.8_A_m1,3,1.0,0.6000000000000001,0.20000000000000004,0.2,1.0,2,2
30min_tp1.2_sl1.6_AB_m1,2,0.5,0.5391834856304152,0.5391834856304152,0.5391834856304152,2.0,1,1
30min_tp1.2_sl1.6_A_m1,2,0.5,0.5391834856304152,0.5391834856304152,0.5391834856304152,2.0,1,1
30min_tp1.5_sl1.5_AB_m1,2,0.5,0.45835222337326204,0.45835222337326204,0.45835222337326204,2.0,1,1
30min_tp1.5_sl1.5_A_m1,2,0.5,0.45835222337326204,0.45835222337326204,0.45835222337326204,2.0,1,1
15min_tp0.7_sl2.8_AB_m1,7,0.8571428571428571,0.4375,0.07291666666666667,-0.8,1.1666666666666667,2,2
30min_tp1.2_sl1.6_AB_m0,6,0.5,0.421337146957915,0.084267429391583,-0.8,1.2,1,2
30min_tp1.0_sl2.0_AB_m1,2,0.5,0.3571851738838123,0.3571851738838123,0.3571851738838123,2.0,1,1
30min_tp1.0_sl2.0_A_m1,2,0.5,0.3571851738838123,0.3571851738838123,0.3571851738838123,2.0,1,1
15min_tp2.0_sl1.2_B_m1,6,0.3333333333333333,0.24407775111602167,0.048815550223204336,-0.8,1.2,1,2
15min_tp0.7_sl2.8_B_m1,6,0.8333333333333334,0.23749999999999996,0.047499999999999994,-0.8,1.2,1,2
15min_tp2.0_sl1.2_A_m1,3,0.3333333333333333,0.2065633572483532,0.06885445241611773,-0.8,1.0,1,2
30min_tp0.7_sl2.8_AB_m1,2,0.5,0.17358825661663746,0.17358825661663746,0.17358825661663746,2.0,1,1
30min_tp0.7_sl2.8_A_m1,2,0.5,0.17358825661663746,0.17358825661663746,0.17358825661663746,2.0,1,1
15min_tp1.0_sl2.0_AB_m1,7,0.7142857142857143,0.09999999999999998,0.016666666666666663,-0.8,1.1666666666666667,1,2
30min_tp0.7_sl2.8_AB_m0,6,0.6666666666666666,-0.026411743383362607,-0.005282348676672521,-0.8,1.2,1,2
15min_tp1.5_sl1.5_B_m1,6,0.5,-0.1267938252316656,-0.02535876504633312,-0.8,1.2,1,2
15min_tp2.0_sl1.2_A_m0,8,0.375,-0.19940441255766717,-0.024925551569708382,-0.8,1.0,2,3
15min_tp1.0_sl2.0_B_m1,6,0.6666666666666666,-0.30000000000000004,-0.06000000000000001,-0.8,1.2,1,2
15min_tp0.7_sl2.8_A_m0,8,0.75,-0.40000000000000024,-0.05000000000000002,-0.8,1.0,2,3
15min_tp1.2_sl1.6_AB_m1,7,0.5714285714285714,-0.44999999999999984,-0.07499999999999997,-0.8,1.1666666666666667,1,2
15min_tp2.0_sl1.2_B_m0,13,0.3076923076923077,-0.7339193842551712,-0.0611599486879309,-0.8,1.0833333333333333,1,4
30min_tp1.5_sl1.5_B_m0,1,0.0,-0.8,-0.8,-0.8,1.0,0,1
30min_tp1.0_sl2.0_B_m0,1,0.0,-0.8,-0.8,-0.8,1.0,0,1
30min_tp0.7_sl2.8_B_m0,1,0.0,-0.8,-0.8,-0.8,1.0,0,1
30min_tp2.0_sl1.2_B_m0,1,0.0,-0.8,-0.8,-0.8,1.0,0,1
30min_tp1.2_sl1.6_B_m0,1,0.0,-0.8,-0.8,-0.8,1.0,0,1
15min_tp1.0_sl2.0_AB_m0,18,0.6111111111111112,-1.0167982812227154,-0.06354989257641971,-1.0,1.125,1,4
15min_tp1.2_sl1.6_B_m1,6,0.5,-1.0499999999999998,-0.20999999999999996,-0.8,1.2,1,2
5min_tp2.0_sl1.2_B_m1,9,0.3333333333333333,-1.3677181276943091,-0.19538830395632986,-0.8,1.2857142857142858,1,2
5min_tp0.7_sl2.8_A_m1,3,0.3333333333333333,-1.4000000000000001,-0.46666666666666673,-0.8,1.0,0,1
15min_tp1.2_sl1.6_AB_m0,18,0.5,-1.6459978515283948,-0.10287486572052466,-1.0,1.125,1,4
15min_tp0.7_sl2.8_B_m0,13,0.6153846153846154,-1.7530702008733687,-0.14608918340611407,-0.8,1.0833333333333333,1,4
15min_tp1.0_sl2.0_B_m0,13,0.5384615384615384,-1.7667982812227159,-0.14723319010189295,-0.8,1.0833333333333333,1,4
15min_tp0.7_sl2.8_AB_m0,18,0.6666666666666666,-1.9155702008733686,-0.11972313755458552,-1.0,1.125,1,4
5min_tp1.0_sl2.0_B_m1,10,0.5,-2.065239258743097,-0.29503417982044244,-0.8,1.4285714285714286,1,2
15min_tp1.5_sl1.5_B_m0,13,0.38461538461538464,-2.0825248668619523,-0.17354373890516275,-0.8,1.0833333333333333,1,4
5min_tp0.7_sl2.8_A_m0,18,0.6666666666666666,-2.1929687500000004,-0.219296875,-1.1500000000000001,1.8,1,3
5min_tp0.7_sl2.8_B_m1,10,0.6,-2.253125,-0.32187499999999997,-0.8,1.4285714285714286,0,2
5min_tp1.0_sl2.0_A_m1,3,0.0,-2.4000000000000004,-0.8000000000000002,-0.8,1.0,0,1
5min_tp2.0_sl1.2_A_m1,3,0.0,-2.4000000000000004,-0.8000000000000002,-0.8,1.0,0,1
5min_tp1.5_sl1.5_A_m1,3,0.0,-2.4000000000000004,-0.8000000000000002,-0.8,1.0,0,1
5min_tp1.2_sl1.6_A_m1,3,0.0,-2.4000000000000004,-0.8000000000000002,-0.8,1.0,0,1
5min_tp2.0_sl1.2_AB_m1,10,0.3,-2.567718127694309,-0.3209647659617887,-1.0,1.25,1,2
5min_tp0.7_sl2.8_AB_m1,11,0.5454545454545454,-3.203125,-0.40039062500000006,-1.0,1.375,0,2
5min_tp2.0_sl1.2_B_m0,30,0.3,-3.2343847943609756,-0.15401832354099887,-1.4000000000000001,1.4285714285714286,2,4
5min_tp1.0_sl2.0_AB_m1,11,0.45454545454545453,-3.2652392587430974,-0.4081549073428872,-1.0,1.375,1,2
