name,trades,wr,total,mean_day,worst_day,tpd,pos_months,n_months
15min_tp2.0_sl1.2_A_m0,13,0.46153846153846156,3.8437847322038854,0.3203153943503238,-0.8,1.0833333333333333,1,2
30min_tp2.0_sl1.2_A_m0,3,0.6666666666666666,1.866666666666667,0.6222222222222223,-0.8,1.0,2,2
15min_tp2.0_sl1.2_AB_m0,19,0.3684210526315789,1.577118065537219,0.09856987909607622,-1.3,1.1875,2,3
30min_tp2.0_sl1.2_A_m1,1,1.0,1.3333333333333335,1.3333333333333335,1.3333333333333335,1.0,1,1
30min_tp2.0_sl1.2_AB_m1,1,1.0,1.3333333333333335,1.3333333333333335,1.3333333333333335,1.0,1,1
30min_tp1.5_sl1.5_A_m0,3,0.6666666666666666,0.8,0.26666666666666666,-0.8,1.0,1,2
30min_tp1.5_sl1.5_A_m1,1,1.0,0.8,0.8,0.8,1.0,1,1
30min_tp1.5_sl1.5_AB_m1,1,1.0,0.8,0.8,0.8,1.0,1,1
5min_tp1.0_sl2.0_A_m1,5,0.8,0.8,0.16,-0.8,1.0,2,2
5min_tp1.5_sl1.5_A_m1,5,0.6,0.8,0.16,-0.8,1.0,1,2
30min_tp1.2_sl1.6_A_m1,1,1.0,0.6,0.6,0.6,1.0,1,1
30min_tp1.2_sl1.6_AB_m1,1,1.0,0.6,0.6,0.6,1.0,1,1
30min_tp1.0_sl2.0_AB_m1,1,1.0,0.4,0.4,0.4,1.0,1,1
30min_tp1.0_sl2.0_A_m1,1,1.0,0.4,0.4,0.4,1.0,1,1
30min_tp1.2_sl1.6_A_m0,3,0.6666666666666666,0.3999999999999999,0.1333333333333333,-0.8,1.0,1,2
5min_tp2.0_sl1.2_A_m1,5,0.4,0.2666666666666666,0.05333333333333332,-0.8,1.0,1,2
30min_tp2.0_sl1.2_AB_m0,5,0.4,0.2666666666666666,0.05333333333333332,-0.8,1.0,2,3
30min_tp0.7_sl2.8_A_m1,1,1.0,0.2,0.2,0.2,1.0,1,1
30min_tp0.7_sl2.8_AB_m1,1,1.0,0.2,0.2,0.2,1.0,1,1
5min_tp1.2_sl1.6_A_m1,5,0.6,0.19999999999999996,0.039999999999999994,-0.8,1.0,1,2
30min_tp1.0_sl2.0_A_m0,3,0.6666666666666666,0.0,0.0,-0.8,1.0,1,2
5min_tp0.7_sl2.8_A_m1,5,0.8,-2.7755575615628914e-17,-5.551115123125783e-18,-0.8,1.0,1,2
15min_tp1.5_sl1.5_A_m0,13,0.46153846153846156,-0.20000000000000107,-0.01666666666666668,-0.8,1.0833333333333333,1,2
15min_tp1.2_sl1.6_A_m0,13,0.5384615384615384,-0.2625000000000004,-0.021875000000000033,-0.8,1.0833333333333333,1,2
30min_tp1.0_sl2.0_B_m0,2,0.5,-0.4,-0.2,-0.8,1.0,1,2
30min_tp0.7_sl2.8_A_m0,3,0.6666666666666666,-0.4,-0.13333333333333333,-0.8,1.0,1,2
30min_tp1.0_sl2.0_AB_m0,5,0.6,-0.4,-0.08,-0.8,1.0,1,3
15min_tp1.0_sl2.0_B_m1,2,0.5,-0.4,-0.2,-0.8,1.0,0,1
15min_tp0.7_sl2.8_B_m1,2,0.5,-0.6000000000000001,-0.30000000000000004,-0.8,1.0,0,1
30min_tp0.7_sl2.8_B_m0,2,0.5,-0.6000000000000001,-0.30000000000000004,-0.8,1.0,1,2
15min_tp1.0_sl2.0_A_m0,13,0.6153846153846154,-0.6500000000000002,-0.05416666666666669,-0.8,1.0833333333333333,1,2
