name,fam,kw,tr_n,tr_wr,tr_total,tr_tpd,tr_worst,te_n,te_wr,te_total,te_tpd,te_worst,n_tot,ok
orb_london#3_oneshot,orb_london,"{'trig': '30min', 'tp_mult': 1.5, 'sl_mode': 'mid'}",87,0.3793103448275862,1.9443404702368294,0.8365384615384616,-1.0,38,0.5,13.895598256612885,0.7755102040816326,-1.0,125,True
orb_london#1_oneshot,orb_london,"{'trig': '15min', 'tp_mult': 1.5, 'sl_mode': 'mid'}",91,0.38461538461538464,9.286341450973879,0.875,-1.0,39,0.4358974358974359,12.808641016448394,0.7959183673469388,-1.0,130,True
orb_london#1_flat,orb_london,"{'trig': '15min', 'tp_mult': 1.5, 'sl_mode': 'mid'}",115,0.391304347826087,8.317228034679466,1.1057692307692308,-1.2000000000000002,51,0.43137254901960786,9.593475839334697,1.0408163265306123,-1.4000000000000001,166,True
orb_london#3_flat,orb_london,"{'trig': '30min', 'tp_mult': 1.5, 'sl_mode': 'mid'}",103,0.3883495145631068,3.480562688343454,0.9903846153846154,-1.2000000000000002,48,0.4583333333333333,8.654398139070782,0.9795918367346939,-1.4000000000000001,151,True
keltner_fade#3_strength,keltner_fade,"{'trig': '30min', 'kc_mult': 2.0, 'tp_atr': 1.5, 'sl_atr': 2.0}",95,0.5789473684210527,0.9775442497676106,0.9134615384615384,-1.5,58,0.6551724137931034,8.304813708375768,1.183673469387755,-1.5,153,True
orb_london#0_flat,orb_london,"{'trig': '15min', 'tp_mult': 1.0, 'sl_mode': 'mid'}",119,0.4117647058823529,0.2294392456116241,1.1442307692307692,-1.2000000000000002,55,0.4909090909090909,7.954575500128247,1.1224489795918366,-1.4000000000000001,174,True
orb_london#2_oneshot,orb_london,"{'trig': '15min', 'tp_mult': 1.0, 'sl_mode': 'far'}",91,0.5384615384615384,3.0414343753129334,0.875,-1.0,39,0.6153846153846154,5.773989273654205,0.7959183673469388,-1.0,130,True
keltner_fade#3_flat,keltner_fade,"{'trig': '30min', 'kc_mult': 2.0, 'tp_atr': 1.5, 'sl_atr': 2.0}",101,0.594059405940594,3.0128247218205733,0.9711538461538461,-1.2513812154696082,63,0.6349206349206349,4.488483475390438,1.2857142857142858,-1.5,164,True
orb_london#2_flat,orb_london,"{'trig': '15min', 'tp_mult': 1.0, 'sl_mode': 'far'}",108,0.5648148148148148,5.81674844408431,1.0384615384615385,-1.2000000000000002,53,0.5849056603773585,2.4188055064729315,1.0816326530612246,-1.2000000000000002,161,True
donchian_h1#1_flat,donchian_h1,"{'trig': '30min', 'n_break': 48, 'tp_atr': 4.0, 'sl_atr': 2.0}",68,0.4411764705882353,2.2044931184690997,0.6538461538461539,-1.2000000000000002,30,0.4,2.0571791987027677,0.6122448979591837,-1.2350594227504303,98,True
