trig,re,eu,tp,slm,tr_n,tr_wr,tr_total,tr_tpd,tr_worst,te_n,te_wr,te_total,te_tpd,te_worst,both_pos
15min,6,10,1.0,mid,81,0.3950617283950617,-3.530506241435612,0.7788461538461539,-1.0,41,0.4634146341463415,6.159656948931797,0.8367346938775511,-1.0,False
15min,6,10,1.0,far,81,0.5555555555555556,6.269387032994194,0.7788461538461539,-1.0,41,0.5609756097560976,3.3258255875778753,0.8367346938775511,-1.0,True
15min,6,10,1.25,mid,81,0.38271604938271603,1.4716870074325712,0.7788461538461539,-1.0,41,0.4634146341463415,11.498889063176188,0.8367346938775511,-1.0,True
15min,6,10,1.25,far,81,0.5432098765432098,10.960960542318599,0.7788461538461539,-1.0,41,0.5609756097560976,6.963780869909362,0.8367346938775511,-1.0,True
15min,6,10,1.5,mid,81,0.35802469135802467,2.5560374059938002,0.7788461538461539,-1.0,41,0.4146341463414634,7.552049302519461,0.8367346938775511,-1.0,True
15min,6,10,1.5,far,81,0.5061728395061729,10.290925756452019,0.7788461538461539,-1.0,41,0.4878048780487805,2.578526438518235,0.8367346938775511,-1.0,True
15min,6,10,2.0,mid,81,0.345679012345679,-0.8869649550592236,0.7788461538461539,-1.0,41,0.4146341463414634,10.636036831606772,0.8367346938775511,-1.0,False
15min,6,10,2.0,far,81,0.48148148148148145,10.45699114656193,0.7788461538461539,-1.0,41,0.4634146341463415,2.5775428303864034,0.8367346938775511,-1.0,True
15min,6,12,1.0,mid,93,0.40860215053763443,0.9818817316136998,0.8942307692307693,-1.0,46,0.45652173913043476,6.315970873992547,0.9387755102040817,-1.0,True
15min,6,12,1.0,far,93,0.5698924731182796,8.894490895190867,0.8942307692307693,-1.0,46,0.5652173913043478,4.082014326158788,0.9387755102040817,-1.0,True
15min,6,12,1.25,mid,93,0.3870967741935484,4.719534768287986,0.8942307692307693,-1.0,46,0.45652173913043476,12.230541011486894,0.9387755102040817,-1.0,True
15min,6,12,1.25,far,93,0.5376344086021505,11.100559115202397,0.8942307692307693,-1.0,46,0.5652173913043478,8.28674605077745,0.9387755102040817,-1.0,True
15min,6,12,1.5,mid,93,0.3655913978494624,6.643311698896966,0.8942307692307693,-1.0,46,0.41304347826086957,8.195465956712685,0.9387755102040817,-1.0,True
15min,6,12,1.5,far,93,0.5053763440860215,11.169227733041378,0.8942307692307693,-1.0,46,0.5,4.101565004905023,0.9387755102040817,-1.0,True
15min,6,12,2.0,mid,93,0.3548387096774194,3.1341770733149072,0.8942307692307693,-1.0,46,0.41304347826086957,11.279453485799996,0.9387755102040817,-1.0,True
15min,6,12,2.0,far,93,0.4731182795698925,10.570516653984154,0.8942307692307693,-1.0,46,0.4782608695652174,3.583458109101781,0.9387755102040817,-1.0,True
15min,6,14,1.0,mid,101,0.42574257425742573,3.9934367663667754,0.9711538461538461,-1.0,47,0.46808510638297873,6.356538825311003,0.9591836734693877,-1.0,True
15min,6,14,1.0,far,101,0.5841584158415841,11.021029206384862,0.9711538461538461,-1.0,47,0.574468085106383,4.102632882859816,0.9591836734693877,-1.0,True
15min,6,14,1.25,mid,101,0.40594059405940597,7.4636923490098965,0.9711538461538461,-1.0,47,0.46808510638297873,12.271108962805348,0.9591836734693877,-1.0,True
15min,6,14,1.25,far,101,0.5544554455445545,12.777880031611089,0.9711538461538461,-1.0,47,0.574468085106383,8.307364607478478,0.9591836734693877,-1.0,True
15min,6,14,1.5,mid,101,0.38613861386138615,9.805786111302016,0.9711538461538461,-1.0,47,0.425531914893617,8.236033908031139,0.9591836734693877,-1.0,True
15min,6,14,1.5,far,101,0.5247524752475248,13.074311452684556,0.9711538461538461,-1.0,47,0.5106382978723404,4.122183561606052,0.9591836734693877,-1.0,True
15min,6,14,2.0,mid,101,0.37623762376237624,6.331304951066505,0.9711538461538461,-1.0,47,0.425531914893617,11.320021437118454,0.9591836734693877,-1.0,True
15min,6,14,2.0,far,101,0.49504950495049505,12.141368567697453,0.9711538461538461,-1.0,47,0.48936170212765956,3.6040766658028094,0.9591836734693877,-1.0,True
15min,7,10,1.0,mid,75,0.37333333333333335,-9.311021002837002,0.7211538461538461,-1.0,32,0.53125,11.208391823146783,0.6530612244897959,-1.0,False
15min,7,10,1.0,far,75,0.5066666666666667,-2.2279652315123077,0.7211538461538461,-1.0,32,0.625,4.939608457100111,0.6530612244897959,-1.0,False
15min,7,10,1.25,mid,75,0.37333333333333335,-2.5908109156993344,0.7211538461538461,-1.0,32,0.5,14.147054939343535,0.6530612244897959,-1.0,False
15min,7,10,1.25,far,75,0.5066666666666667,3.3686555160062177,0.7211538461538461,-1.0,32,0.59375,6.851020288848962,0.6530612244897959,-1.0,True
15min,7,10,1.5,mid,75,0.37333333333333335,1.8473462441459283,0.7211538461538461,-1.0,32,0.4375,12.657097527257834,0.6530612244897959,-1.0,True
15min,7,10,1.5,far,75,0.49333333333333335,4.490302849200811,0.7211538461538461,-1.0,32,0.5,2.995275425858906,0.6530612244897959,-1.0,True
15min,7,10,2.0,mid,75,0.36,-1.7400975223735182,0.7211538461538461,-1.0,32,0.4375,14.553836501978427,0.6530612244897959,-1.0,False
15min,7,10,2.0,far,75,0.4666666666666667,2.852355552950634,0.7211538461538461,-1.0,32,0.46875,3.5852132292187653,0.6530612244897959,-1.0,True
15min,7,12,1.0,mid,91,0.4065934065934066,-0.617018579656083,0.875,-1.0,39,0.5128205128205128,11.146471260049712,0.7959183673469388,-1.0,False
